CAS,cluster
127-20-8,89
650-51-1,89
2923-18-4,89
79-92-5,28
80-56-8,28
12771-68-5,90
56425-91-3,90
2227-17-0,91
12789-03-6,91
77-47-4,91
5202-36-8,91
13560-89-9,91
3389-71-7,91
137-30-4,92
14484-64-1,92
128-03-0,92
128-04-1,92
599-64-4,21
19715-19-6,21
188489-07-8,37
128639-02-1,37
175013-18-0,37
129-00-0,77
43121-43-3,37
1303-28-2,14
1314-62-1,14
13048-33-4,93
20679-58-7,93
13463-67-7,94
1344-57-6,94
1306-38-3,94
1317-70-0,94
13071-79-9,20
24934-91-6,20
298-02-2,20
298-04-4,20
298-06-6,20
95465-99-9,20
131-17-9,30
13121-70-5,95
3091-32-5,95
1313-27-5,14
1333-82-0,14
141-66-2,96
13171-21-6,96
19666-30-9,37
131807-57-3,37
640-15-3,20
78-48-8,20
132-27-4,21
90-43-7,21
1320-18-9,30
64700-56-7,30
26544-20-7,30
17796-82-6,97
133-06-2,97
133-07-3,97
2939-80-2,97
13311-84-7,0
544-01-4,40
142-96-1,40
1746-81-2,98
330-55-2,98
13360-45-7,98
50-27-1,28
134098-61-6,37
13939-25-8,14
7778-43-0,14
7631-89-2,14
15120-17-9,14
13464-37-4,14
13464-38-5,14
134605-64-4,37
15922-78-8,99
13463-41-7,99
56-53-1,21
13464-24-9,21
72108-22-6,21
7758-23-8,14
2222-33-5,21
29799-07-3,21
76-44-8,91
57-74-9,91
333-41-5,75
2921-88-2,75
18854-01-8,75
38260-54-7,75
136-23-2,65
136-45-8,30
13684-56-5,100
13684-63-4,100
149877-41-8,100
2782-91-4,92
137-26-8,92
97-74-5,92
13701-59-2,14
7775-19-1,14
21324-39-0,101
13755-29-8,101
97-64-3,30
19329-89-6,30
687-47-8,30
13840-33-0,14
7782-50-5,102
13863-41-7,102
139-13-9,2
5064-31-3,2
22936-86-3,18
32889-48-8,18
140-41-0,24
97-63-2,30
140-88-5,30
3810-74-0,103
1405-41-0,103
6923-22-4,96
554-12-1,30
141517-21-7,104
143390-89-0,104
181274-15-7,19
9014-90-8,105
577-11-7,105
4016-24-4,105
28348-61-0,105
9004-82-4,105
142-87-0,105
5896-54-8,105
1420-04-8,0
50-65-7,0
143-33-9,63
143-50-0,106
2385-85-5,106
32341-80-3,10
53404-23-2,30
3599-58-4,30
5742-19-8,30
1432-14-0,30
2212-53-5,30
39430-27-8,107
497-19-8,107
144-55-8,107
298-12-4,1
79-33-4,1
87-69-4,1
50-21-5,1
41267-43-0,19
66330-88-9,108
145-73-3,108
683-18-1,47
1461-25-2,47
7091-57-8,38
148477-71-8,109
283594-90-1,109
2492-26-4,110
95-16-9,110
21564-17-0,110
149-30-4,110
1806-26-4,39
19937-59-8,24
150-75-4,79
98-37-3,79
886-86-2,79
151-21-3,105
151-50-8,63
33245-39-5,111
1582-09-8,111
29091-05-2,111
29091-21-2,111
55283-68-6,111
33820-53-0,111
62924-70-3,111
1861-40-1,111
8070-92-6,111
19044-88-3,111
34256-82-1,112
23184-66-9,112
87674-68-8,112
51218-45-2,112
51218-49-6,112
15972-60-8,112
50563-36-5,112
38727-55-8,112
161326-34-7,113
21087-64-9,113
75-65-0,54
540-88-5,54
59669-26-0,72
61-82-5,114
4418-61-5,114
16691-43-3,114
1675-54-3,115
25068-38-6,115
25171-63-5,72
16858-02-9,32
2764-72-9,32
1689-99-2,30
3861-41-4,30
1745-81-9,21
60168-88-9,116
17781-31-6,116
42874-03-3,0
62476-59-9,0
50594-66-6,0
1843-05-6,40
188425-85-6,22
4685-14-7,117
1910-42-5,117
1928-45-6,30
1928-58-1,30
56634-95-8,30
50-32-8,77
83-32-9,77
91-20-3,77
53-70-3,77
55219-65-3,37
23422-53-9,24
3064-70-8,73
2646-78-8,10
23103-98-2,24
4849-32-5,24
35860-86-7,40
9036-19-5,40
21351-39-3,15
7773-06-0,15
2164-07-0,108
220899-03-6,10
22224-92-6,118
25311-71-1,118
87-90-1,119
30622-37-8,119
51580-86-0,119
2244-21-5,119
2302-17-2,19
3337-71-1,19
63-74-1,19
584-79-2,120
23031-36-9,120
240494-70-6,121
79538-32-2,121
40465-66-5,52
569-64-2,122
2465-27-2,122
786-19-6,20
54593-83-8,20
98-83-9,4
50723-80-3,123
25057-89-0,123
56539-66-3,40
2634-33-5,124
82633-79-2,124
2527-66-4,124
26172-55-4,124
2682-20-4,124
25321-09-9,45
487-68-3,45
6165-51-1,45
4602-84-0,40
86-87-3,125
25545-89-5,125
97-77-8,65
86-74-8,76
484-11-7,76
52645-53-1,126
39515-40-7,126
39515-41-8,126
51877-74-8,126
26002-80-2,126
54774-45-7,126
54774-46-8,126
54774-47-9,126
